0,0,-,-,-,init_experiment,round_ms=1000 nodes=25
100,630,localhost/127.0.0.1:8010,DemoCompositeProtocol,mergeC(mergeC(leader-10 || label-10) || mergeC(tree-10 || count-10)),rate,2.00000
101,635,localhost/127.0.0.1:8017,DemoCompositeProtocol,mergeC(mergeC(leader-17 || label-17) || mergeC(tree-17 || count-17)),rate,2.00000
102,642,localhost/127.0.0.1:8014,DemoCompositeProtocol,mergeC(mergeC(leader-14 || label-14) || mergeC(tree-14 || count-14)),rate,2.00000
103,642,localhost/127.0.0.1:8018,DemoCompositeProtocol,mergeC(mergeC(leader-18 || label-18) || mergeC(tree-18 || count-18)),rate,2.00000
104,642,localhost/127.0.0.1:8021,MinAddressLeaderElection,leader-21,state,localhost/127.0.0.1:8021,
105,643,localhost/127.0.0.1:8021,TreeLabelNodes,label-21,state,label:1
106,643,localhost/127.0.0.1:8021,SpanningTree,tree-21,state,root=true dist=0 parent=null children=
107,643,localhost/127.0.0.1:8021,TreeCountNodes,count-21,state,subtree-size:1   child subtrees: 
108,646,localhost/127.0.0.1:8019,DemoCompositeProtocol,mergeC(mergeC(leader-19 || label-19) || mergeC(tree-19 || count-19)),rate,2.00000
109,654,localhost/127.0.0.1:8020,DemoCompositeProtocol,mergeC(mergeC(leader-20 || label-20) || mergeC(tree-20 || count-20)),rate,2.00000
110,656,localhost/127.0.0.1:8022,MinAddressLeaderElection,leader-22,state,localhost/127.0.0.1:8022,
111,656,localhost/127.0.0.1:8022,TreeLabelNodes,label-22,state,label:1
112,656,localhost/127.0.0.1:8022,SpanningTree,tree-22,state,root=true dist=0 parent=null children=
113,657,localhost/127.0.0.1:8022,TreeCountNodes,count-22,state,subtree-size:1   child subtrees: 
114,672,localhost/127.0.0.1:8021,DemoCompositeProtocol,mergeC(mergeC(leader-21 || label-21) || mergeC(tree-21 || count-21)),rate,2.00000
115,687,localhost/127.0.0.1:8023,MinAddressLeaderElection,leader-23,state,localhost/127.0.0.1:8023,
116,688,localhost/127.0.0.1:8023,TreeLabelNodes,label-23,state,label:1
117,689,localhost/127.0.0.1:8023,SpanningTree,tree-23,state,root=true dist=0 parent=null children=
118,689,localhost/127.0.0.1:8023,TreeCountNodes,count-23,state,subtree-size:1   child subtrees: 
119,693,localhost/127.0.0.1:8022,DemoCompositeProtocol,mergeC(mergeC(leader-22 || label-22) || mergeC(tree-22 || count-22)),rate,2.00000
120,714,localhost/127.0.0.1:8024,MinAddressLeaderElection,leader-24,state,localhost/127.0.0.1:8024,
121,715,localhost/127.0.0.1:8024,TreeLabelNodes,label-24,state,label:1
122,715,localhost/127.0.0.1:8024,SpanningTree,tree-24,state,root=true dist=0 parent=null children=
123,716,localhost/127.0.0.1:8024,TreeCountNodes,count-24,state,subtree-size:1   child subtrees: 
124,731,localhost/127.0.0.1:8023,DemoCompositeProtocol,mergeC(mergeC(leader-23 || label-23) || mergeC(tree-23 || count-23)),rate,2.00000
125,752,localhost/127.0.0.1:8024,DemoCompositeProtocol,mergeC(mergeC(leader-24 || label-24) || mergeC(tree-24 || count-24)),rate,2.00000
126,901,localhost/127.0.0.1:8002,DemoCompositeProtocol,mergeC(mergeC(leader-2 || label-2) || mergeC(tree-2 || count-2)),select,localhost/127.0.0.1:8011
127,942,localhost/127.0.0.1:8001,DemoCompositeProtocol,mergeC(mergeC(leader-1 || label-1) || mergeC(tree-1 || count-1)),select,localhost/127.0.0.1:8023
128,983,localhost/127.0.0.1:8001,DemoCompositeProtocol,mergeC(mergeC(leader-1 || label-1) || mergeC(tree-1 || count-1)),merge-update,both
129,983,localhost/127.0.0.1:8002,DemoCompositeProtocol,mergeC(mergeC(leader-2 || label-2) || mergeC(tree-2 || count-2)),merge-update,both
130,985,localhost/127.0.0.1:8001,MergeCorrelated,mergeC(leader-1 || label-1),merge-update,p1
131,986,localhost/127.0.0.1:8002,MergeCorrelated,mergeC(leader-2 || label-2),merge-update,p1
132,988,localhost/127.0.0.1:8001,MergeCorrelated,mergeC(tree-1 || count-1),merge-update,p1
133,988,localhost/127.0.0.1:8002,MergeCorrelated,mergeC(tree-2 || count-2),merge-update,p1
134,988,localhost/127.0.0.1:8023,MinAddressLeaderElection,leader-23,state,localhost/127.0.0.1:8001,
135,988,localhost/127.0.0.1:8011,MinAddressLeaderElection,leader-11,state,localhost/127.0.0.1:8002,
136,988,localhost/127.0.0.1:8023,TreeLabelNodes,label-23,state,label:1
137,989,localhost/127.0.0.1:8011,TreeLabelNodes,label-11,state,label:1
138,989,localhost/127.0.0.1:8023,SpanningTree,tree-23,state,root=false dist=1 parent=localhost/127.0.0.1:8001 children=
139,989,localhost/127.0.0.1:8011,SpanningTree,tree-11,state,root=false dist=1 parent=localhost/127.0.0.1:8002 children=
140,989,localhost/127.0.0.1:8023,TreeCountNodes,count-23,state,subtree-size:1   child subtrees: 
141,989,localhost/127.0.0.1:8011,TreeCountNodes,count-11,state,subtree-size:1   child subtrees: 
142,1001,localhost/127.0.0.1:8002,MinAddressLeaderElection,leader-2,state,localhost/127.0.0.1:8002,
143,1001,localhost/127.0.0.1:8002,TreeLabelNodes,label-2,state,label:1
144,1002,localhost/127.0.0.1:8002,SpanningTree,tree-2,state,root=true dist=0 parent=null children=
145,1002,localhost/127.0.0.1:8002,TreeCountNodes,count-2,state,subtree-size:1   child subtrees: 
146,1005,localhost/127.0.0.1:8001,MinAddressLeaderElection,leader-1,state,localhost/127.0.0.1:8001,
147,1005,localhost/127.0.0.1:8001,TreeLabelNodes,label-1,state,label:1
148,1006,localhost/127.0.0.1:8001,SpanningTree,tree-1,state,root=true dist=0 parent=null children=
149,1006,localhost/127.0.0.1:8001,TreeCountNodes,count-1,state,subtree-size:1   child subtrees: 
150,1007,localhost/127.0.0.1:8002,DemoCompositeProtocol,mergeC(mergeC(leader-2 || label-2) || mergeC(tree-2 || count-2)),rate,2.00000
151,1017,localhost/127.0.0.1:8001,DemoCompositeProtocol,mergeC(mergeC(leader-1 || label-1) || mergeC(tree-1 || count-1)),rate,2.00000
152,1017,localhost/127.0.0.1:8000,DemoCompositeProtocol,mergeC(mergeC(leader-0 || label-0) || mergeC(tree-0 || count-0)),select,localhost/127.0.0.1:8022
153,1025,localhost/127.0.0.1:8000,DemoCompositeProtocol,mergeC(mergeC(leader-0 || label-0) || mergeC(tree-0 || count-0)),merge-update,both
154,1025,localhost/127.0.0.1:8000,MergeCorrelated,mergeC(leader-0 || label-0),merge-update,p1
155,1026,localhost/127.0.0.1:8000,MergeCorrelated,mergeC(tree-0 || count-0),merge-update,p1
156,1026,localhost/127.0.0.1:8022,MinAddressLeaderElection,leader-22,state,localhost/127.0.0.1:8000,
157,1026,localhost/127.0.0.1:8022,TreeLabelNodes,label-22,state,label:1
158,1027,localhost/127.0.0.1:8022,SpanningTree,tree-22,state,root=false dist=1 parent=localhost/127.0.0.1:8000 children=
159,1027,localhost/127.0.0.1:8022,TreeCountNodes,count-22,state,subtree-size:1   child subtrees: 
160,1031,localhost/127.0.0.1:8000,MinAddressLeaderElection,leader-0,state,localhost/127.0.0.1:8000,
